time,X_value,Y_value,Z_value
Started:,Oct 08 2018,17:12:59:815, 
0.0202,0.07229,-0.02444,-0.03861
0.0430,0.04052,-0.00734,-0.02944
0.0611,0.01059,-0.00123,-0.03005
0.0799,0.01609,0.00610,-0.02517
0.1021,0.01425,0.03054,-0.03494
0.1201,0.00326,0.02626,-0.03983
0.1405,-0.01568,0.03298,-0.05510
0.1628,-0.01079,0.00916,-0.05449
0.1803,-0.01751,-0.01833,-0.04349
0.1999,0.02891,-0.03605,-0.03616
0.2224,-0.00529,-0.02261,-0.03128
0.2400,-0.00896,0.01099,-0.02883
0.2603,-0.01751,0.02626,-0.03433
0.2824,-0.03828,0.01588,-0.02822
0.3000,-0.01262,0.01038,-0.02272
0.3200,0.04113,-0.04094,-0.00623
0.3421,0.01303,-0.03544,-0.01234
0.3602,0.00815,0.00488,-0.00501
0.3804,-0.04805,0.02993,-0.01173
0.4024,-0.07921,0.05375,-0.00990
0.4199,-0.02057,0.01526,-0.00562
0.4397,-0.01507,0.01832,-0.00012
0.4626,-0.01140,0.02137,0.00904
0.4799,0.01303,0.01588,0.00721
0.5006,-0.01995,0.04459,-0.00073
0.5231,-0.01079,0.03054,0.00599
0.5398,-0.00041,0.03664,0.00049
0.5606,0.03319,0.00121,0.01576
0.5824,0.03563,-0.00367,0.01210
0.5999,0.10405,-0.03177,0.02004
0.6202,0.06557,-0.01161,0.01454
0.6425,0.08145,-0.02078,0.02492
0.6678,0.06801,-0.01833,0.02981
0.6801,0.11199,-0.02994,0.04386
0.7020,0.08939,-0.00367,0.04569
0.7202,0.07534,-0.01528,0.05180
0.7399,0.01853,0.01343,0.03653
0.7628,0.01303,0.00366,0.04264
0.7803,-0.01568,0.03970,0.02859
0.8022,-0.01446,0.04214,0.03531
0.8222,-0.01385,0.03970,0.02492
0.8403,-0.00652,0.02748,0.02126
0.8611,-0.05416,0.05131,0.02492
0.8825,-0.04683,0.05192,0.03470
0.9008,0.00815,-0.02566,0.03042
0.9201,0.01914,-0.03360,0.02615
0.9513,-0.00407,-0.00306,0.01515
0.9618,-0.00590,0.00305,-0.00073
0.9802,-0.03095,-0.00001,-0.00012
1.0030,-0.03523,-0.02200,0.01943
1.0201,-0.04805,0.00916,0.06158
1.0410,-0.02057,0.00671,0.08662
1.0623,-0.05050,0.01404,0.07807
1.0846,0.01364,-0.03788,0.07563
1.1001,0.06679,-0.08186,0.07807
1.1237,0.03136,-0.04888,0.05669
1.1405,0.00815,0.00732,0.03103
1.1603,0.01486,-0.02078,-0.00012
1.1850,-0.01079,0.00916,-0.01600
1.2001,0.02953,-0.04216,-0.01784
1.2199,0.01425,-0.00612,-0.02028
1.2433,0.04907,-0.04521,-0.02395
1.2598,0.02830,-0.02261,0.00049
1.2802,0.01303,0.01282,0.00843
1.3021,0.04968,-0.02322,-0.01295
1.3201,-0.00041,-0.01956,-0.01967
1.3403,-0.02973,0.01526,-0.02150
1.3682,-0.01690,0.02809,0.00415
1.3805,0.00998,-0.03727,-0.00379
1.4004,-0.01201,-0.04216,-0.01784
1.4226,-0.00896,-0.03360,0.00599
1.4413,-0.02667,0.00183,0.02370
1.4599,-0.03950,0.00793,0.01759
1.4819,-0.06333,0.02076,0.00415
1.5090,-0.08471,0.00671,0.01332
1.5204,-0.03950,-0.01833,0.02492
1.5420,0.05885,-0.05071,0.02065
1.5599,0.08450,-0.05560,0.02370
1.5800,-0.15496,0.02626,-0.00012
1.6021,-0.12197,0.13011,-0.00318
1.6200,-0.03584,0.05802,0.01637
1.6401,0.01425,-0.04094,0.00843
1.6633,-0.02667,0.02382,-0.00928
1.6801,-0.07066,0.01893,0.00232
1.7003,-0.10670,0.03848,0.00660
1.7220,-0.10425,0.02565,0.02981
1.7400,-0.11525,0.03909,0.02248
1.7602,-0.07738,0.03481,0.02981
1.7840,-0.10425,0.01954,0.01515
1.8002,-0.13663,0.02809,0.00721
1.8202,0.16147,-0.20526,0.02065
1.8423,-0.10975,0.04886,0.03409
1.8596,-0.02484,0.01771,-0.00623
1.8802,0.00509,-0.03788,-0.06121
1.9034,0.10772,-0.07637,-0.04105
1.9198,0.01975,-0.00306,-0.04655
1.9397,-0.02728,0.05741,-0.03616
1.9620,-0.01507,0.04642,-0.03738
1.9798,0.03686,-0.00123,-0.01600
