time,X_value,Y_value,Z_value
Started:,Oct 17 2018,21:16:01:084, 
0.0199,-0.06704,9.54597,0.69673
0.0421,0.17718,9.88596,-0.04549
0.0599,0.10774,9.90751,0.44055
0.0800,0.07901,9.82131,0.81884
0.1038,0.09098,9.72794,0.49083
0.1200,0.02873,9.85962,0.96250
0.1404,0.01437,9.81653,1.25460
0.1636,0.06465,9.59625,1.29770
0.1811,0.04549,9.90990,0.87152
0.2009,-0.17478,9.68963,1.21629
0.2252,-0.04310,9.85723,0.87152
0.2411,0.09338,9.51485,0.47885
0.2611,0.09817,10.00567,0.31604
0.2833,0.04789,9.72554,0.49561
0.3011,-0.15802,10.00807,0.43097
0.3213,0.00479,9.83329,0.91222
0.3439,0.03113,9.57231,0.73983
0.3613,0.16760,9.73752,0.30886
0.3817,0.02155,9.59625,0.36632
0.4035,0.17239,9.74470,0.05028
0.4213,-0.07422,9.58668,0.74462
0.4408,-0.03591,9.89314,0.84997
0.4636,-0.08619,9.73991,1.06545
0.4809,0.05507,9.88117,0.28492
0.5233,0.14366,9.86681,0.24182
0.5428,0.15084,9.73033,-0.18915
0.5576,0.07901,9.72315,0.85715
0.5624,-0.03352,9.67526,1.33840
0.5856,-0.01676,9.76625,0.97208
0.6028,-0.15084,9.39274,1.30009
0.6234,0.11493,9.83329,0.23703
0.6466,0.15084,9.67766,0.27295
0.6636,0.03113,9.88117,-0.14366
0.6902,0.03591,9.78780,0.71589
0.7071,-0.01197,9.62498,0.55308
0.7236,0.10774,9.73512,0.34717
0.7443,-0.01676,9.87160,0.49083
0.7660,0.07662,9.78301,0.61054
0.7836,-0.24900,9.46936,0.92419
0.8035,0.15323,9.84526,0.29689
0.8262,0.11732,9.64414,0.33759
0.8439,0.17478,9.85484,-0.11971
0.8656,0.22985,9.80216,0.44294
0.8860,0.11971,9.73752,0.71110
0.9038,-0.11014,9.71357,1.71191
0.9252,-0.18196,9.39753,2.10936
0.9485,-0.04549,9.79498,1.65205
0.9642,-0.09817,9.61541,0.65603
0.9841,0.13647,10.01525,0.03113
1.0064,-0.05986,9.85723,0.27774
1.0234,-0.06704,9.93145,0.10774
1.0438,-0.19394,9.88357,0.15323
1.0658,-0.31844,9.70639,0.25858
1.0836,-0.00958,9.73991,-0.32083
1.1055,0.02634,9.69202,-0.50998
1.1259,0.12929,9.63696,-0.55308
1.1437,0.24661,9.78061,-0.45970
1.1637,-0.07422,9.67526,0.41182
1.1878,0.23703,9.74949,0.16281
1.2062,0.17478,9.77104,0.44773
1.2243,-0.02634,9.48612,0.28252
1.2457,0.06943,9.88596,-0.06943
1.2637,0.31844,10.01286,-0.57223
1.2838,0.28252,9.95061,0.01437
1.3068,0.45012,9.94103,-0.10295
1.3249,0.09338,9.43584,-0.70152
1.3461,0.41660,9.81413,-0.90982
1.3668,0.09338,9.91469,-1.11334
1.3923,0.04549,10.00567,-0.54589
1.4081,0.10295,9.88836,0.12450
1.4280,0.05028,9.79019,0.21548
1.4467,-0.00958,9.67526,0.53871
1.4653,-0.19394,9.86920,-0.93377
1.4877,-0.04070,9.99849,-1.32643
1.5116,0.19394,9.77822,-2.00880
1.5304,0.26816,9.74949,-2.12372
1.5495,0.13887,9.89075,-2.55469
1.5658,0.11971,10.20919,0.05267
1.5852,-0.01197,10.23074,0.45731
1.6073,0.15323,9.94103,0.06465
1.6249,0.15084,10.08469,0.78532
1.6568,0.29210,9.75667,0.41421
1.6683,0.25858,10.26904,0.29210
1.6849,0.37351,10.11342,0.17478
1.7051,0.11493,10.08947,0.37830
1.7295,0.18915,9.88596,0.37590
1.7472,0.05507,10.03441,0.57941
1.7669,0.06465,9.65850,-0.31844
1.7891,0.06704,9.88357,-0.20112
1.8066,-0.11732,9.86920,-0.81645
1.8282,0.16760,9.78301,-0.90025
1.8497,-0.05986,9.71597,-0.47167
1.8675,-0.04789,9.35683,-0.08380
1.8876,0.02634,9.32809,-0.05507
1.9106,0.02394,9.78780,0.19872
1.9276,0.11014,9.79019,-1.02714
1.9553,0.38787,10.15412,-0.61293
1.9703,0.10295,10.07032,-0.03831
1.9876,0.60096,10.36960,-0.80926
2.0089,0.57702,9.79498,-0.17478
2.0298,0.36872,9.79737,-0.04549
2.0473,0.20830,10.22355,-0.11253
2.0668,0.06943,9.70639,0.21070
2.0903,0.12690,9.58668,0.35196
2.1078,0.06465,9.39035,-0.99362
2.1275,0.08619,9.51006,-1.58262
2.1496,0.17478,9.73273,-1.04151
2.1687,0.07901,9.63456,-1.01996
2.1873,-0.02634,9.67526,-0.77575
2.2114,0.11253,10.07032,-1.17319
2.2415,0.20591,9.73512,-1.13967
2.2477,0.30647,9.97694,-0.96729
2.2699,0.11971,10.07511,-1.08700
2.2878,0.00000,10.00089,-0.45491
2.3079,0.15084,9.96737,0.18436
2.3318,0.13647,9.95061,-0.50280
2.3546,0.22027,10.04159,-0.42139
2.3727,0.15802,9.44063,-0.35196
2.3898,0.08859,9.75428,-0.87152
2.4072,0.18196,9.63217,0.62251
2.4277,-0.08619,9.46217,0.74701
2.4500,-0.06943,9.39513,-0.02394
2.4675,0.03352,9.60104,0.23224
2.4966,0.09817,9.96018,0.00718
2.5102,0.29928,9.58428,-0.77814
2.5289,-0.11253,9.77582,0.52435
2.5474,0.12211,9.65372,0.62969
2.5694,0.13169,9.38316,-0.04789
2.5871,0.12211,10.08229,0.28971
2.6077,0.02634,10.10623,0.13887
2.6299,-0.05028,10.13736,-0.83800
2.6485,0.19872,10.08947,-0.39266
2.6694,0.10535,10.34327,-0.64167
2.6915,0.00718,9.79258,-1.10137
2.7091,0.17478,10.02483,-0.41182
2.7297,0.04070,10.01765,-0.38069
2.7497,0.19154,9.60583,-1.26657
2.7674,0.34717,9.26824,-0.92419
2.7910,0.09577,9.72076,-0.81645
2.8093,0.14126,9.22754,-0.85715
2.8288,0.57463,10.20201,-0.97447
2.8490,0.31126,9.66569,0.09338
2.8713,0.02634,9.33528,0.76617
2.8904,-0.07901,9.22993,-0.16520
2.9164,0.65124,9.66329,-1.72627
2.9315,0.07183,9.22993,-0.22267
2.9474,0.22267,10.72635,-2.03034
2.9675,0.57702,10.13257,-0.51477
2.9897,-0.13408,9.77343,0.76856
3.0077,-0.16281,9.62259,1.05588
3.0276,0.05028,9.50527,0.25619
3.0495,-0.01437,9.76864,0.12690
3.0715,0.42618,9.62498,-1.44854
3.0873,0.41660,9.85244,-0.55068
3.1095,0.27534,9.99610,-0.49801
3.1277,-0.24900,10.29538,1.47966
3.1476,-0.44773,10.12060,1.60656
3.1711,-0.23464,10.09905,0.72786
3.1892,-0.16042,9.71118,-0.13169
3.2234,-0.17478,9.75667,-1.35516
3.2313,-0.08141,9.63935,-1.58262
3.2475,-0.18915,9.68005,-0.65124
3.2677,-0.22267,9.66329,0.03831
3.2899,-0.01915,10.14933,0.11493
3.3100,0.00479,9.93624,-0.02873
3.3349,-0.06943,9.90033,0.14126
3.3504,-0.01437,10.01525,0.79490
3.3672,-0.02873,9.81653,0.80687
3.3871,0.07662,9.93863,0.87391
3.4095,0.38308,9.78061,-0.01437
3.4273,0.11732,9.43344,0.07422
3.4483,0.44534,9.84286,-0.15563
3.4715,0.46688,9.15331,0.58420
3.5032,0.37351,9.54597,0.23464
3.5076,0.56265,9.45739,-0.32802
3.5306,0.45731,9.68005,-0.24661
3.5483,0.56026,9.78061,0.03831
3.5688,0.36393,10.33848,0.87870
3.5906,0.06465,10.21158,1.49163
3.6080,0.20830,10.49889,2.15006
3.6278,0.16281,9.61062,1.59459
3.6513,0.68237,9.73512,-0.03113
3.6682,0.56984,9.28021,-0.16520
3.6881,0.61293,9.57231,-0.38069
3.7114,0.44534,9.60822,0.77814
3.7282,0.26576,9.59865,1.22347
3.7484,0.22506,10.04638,1.26418
3.7766,0.02394,10.13257,0.92898
3.7881,0.14126,10.31454,0.40942
3.8089,0.33520,10.14454,-0.08859
3.8307,0.12211,9.97455,0.03352
3.8480,-0.04310,9.52203,0.41421
3.8688,-0.20591,9.75188,0.41660
3.8908,-0.47646,9.88596,0.67040
3.9216,-0.02634,9.71597,0.07901
3.9305,0.32083,10.05356,-0.55547
3.9516,0.34956,10.05117,-0.51956
3.9691,0.25379,10.05356,0.07662
3.9894,0.27534,10.28341,0.94095
4.0116,0.01437,9.97215,0.65124
4.0289,0.01676,10.10623,0.69673
4.0539,0.62012,9.06233,0.52913
4.0710,0.78293,9.18683,0.32083
4.0891,0.71828,9.62259,-0.59617
4.1093,0.55787,9.51724,-0.16281
4.1316,0.41900,9.66090,-0.37351
4.1488,0.32802,9.84526,0.63688
4.1691,0.65843,9.78061,0.51956
4.1916,0.73025,10.01286,0.57463
4.2101,0.31365,9.76146,0.92419
4.2308,-0.01197,10.37679,1.08700
4.2518,0.16999,9.75188,0.47167
4.2689,0.24900,9.46936,0.39266
4.2888,0.48604,10.05117,0.32562
4.3107,0.33041,9.80695,0.42379
4.3289,0.16999,9.67287,0.41421
4.3489,0.04070,9.74949,0.45252
4.3709,0.01915,9.93145,0.10535
4.3888,0.40224,10.08229,0.21070
4.4090,0.28252,9.65850,0.51956
4.4311,-0.00718,9.85005,0.39506
4.4511,-0.09577,9.84526,0.50759
4.4823,0.22027,10.18764,0.34478
4.4921,0.60815,9.38556,0.18915
4.5094,0.36872,9.84286,-0.40224
4.5294,0.39266,9.83568,-0.64885
4.5532,0.54829,9.40950,-0.40703
4.5691,0.57702,9.62977,-0.52674
4.5893,0.38787,9.74230,-0.00958
4.6114,0.11253,10.15412,0.64167
4.6289,-0.04549,9.63217,0.37590
4.6487,-0.14845,9.72554,0.40703
4.6710,0.16520,9.63935,-0.02634
4.6903,0.29928,9.70639,0.11253
4.7107,0.56026,9.99849,0.19633
4.7526,0.24661,9.48372,-0.36872
4.7528,0.43097,10.11821,0.50040
4.7717,0.32083,10.01286,-0.45012
4.7928,-0.03113,10.00328,-0.90504
4.8105,0.14126,10.44862,-0.81166
4.8303,0.30168,10.25229,-0.35914
4.8524,0.00479,10.10623,-0.80687
4.8701,0.11014,9.83808,-0.38787
4.8897,0.64167,9.69921,-0.76138
4.9118,0.35914,9.60822,-1.32643
4.9298,0.44534,9.82371,-1.40065
4.9497,0.71828,9.59865,-1.40305
4.9723,0.59617,9.32091,-1.17559
4.9902,0.04789,9.71597,-0.46928
5.0102,0.14605,9.37598,-0.95292
5.0411,0.16999,8.99050,-0.43097
5.0507,0.83800,9.19880,-2.34160
5.0750,0.65603,9.09346,-1.97288
5.0933,0.33520,9.81413,-1.03433
5.1122,0.37590,9.63456,-0.34956
5.1316,0.28971,9.92906,-0.16999
5.1539,0.23464,9.52921,0.79011
5.1717,0.34956,10.56354,-0.57702
5.1915,0.26576,10.12299,0.15323
5.2139,0.01676,10.53720,0.48604
5.2316,0.16520,9.97694,1.35037
5.2528,-0.28492,10.47256,1.18038
5.2747,0.03352,10.19003,1.16362
5.2924,-0.01437,9.94582,1.06785
5.3143,0.33280,9.77104,1.15404
5.3344,0.19872,9.53640,0.43815
5.3519,0.45731,9.47415,0.63448
5.3716,0.70152,9.71836,0.24900
5.3937,0.41421,9.63935,-0.09577
5.4132,0.38308,9.99610,-0.65603
5.4332,0.45012,9.62020,-0.35675
5.4567,0.38308,9.59865,-0.03352
5.4727,0.70392,9.45020,-0.71349
5.4930,0.92180,10.12299,-0.71349
5.5152,0.43097,9.96976,-0.38069
5.5334,0.42379,10.16609,0.75659
5.5558,-0.09098,9.92666,1.59938
5.5863,0.38069,9.98891,2.09499
5.5957,-0.32323,9.18204,2.28653
5.6137,0.02155,10.11581,0.50280
5.6346,0.31604,9.34964,-0.27534
5.6526,0.51956,9.94342,-1.75261
5.6727,0.15323,9.63696,-1.07024
5.6950,0.73025,9.92666,-2.11414
5.7128,0.73983,9.72076,-0.94334
5.7381,0.73025,10.49650,-1.36713
5.7551,0.69673,10.39355,0.01197
5.7730,-0.11014,9.70400,1.15404
5.7937,0.02155,9.07430,0.31126
5.8146,0.62491,9.46217,0.67279
5.8327,0.33999,9.15571,0.98884
5.8526,0.35196,9.76146,0.60096
5.8747,0.61533,9.66569,-0.24661
5.8924,0.60575,9.90751,-0.07183
5.9125,0.49322,10.19003,-1.07982
5.9373,0.71589,9.83808,-0.85954
5.9528,0.68716,10.17088,-0.81645
5.9724,0.78053,9.68245,0.50280
5.9950,0.33041,9.78780,0.41660
6.0137,0.41900,9.97934,-0.23224
6.0346,0.06704,10.58748,0.27295
6.0576,0.11253,9.97215,-0.38787
6.0728,0.36154,9.91230,1.01996
6.0930,-0.06225,9.77822,1.04869
6.1150,-0.13408,9.38795,-0.09817
6.1330,0.34478,9.56752,-1.25699
6.1572,1.12531,9.18444,-1.64008
6.1756,0.81645,9.23951,-0.64406
6.1921,0.12929,9.32331,0.94574
6.2125,0.23224,9.21078,1.38868
6.2346,0.29210,9.96976,1.70712
6.2525,0.11493,10.05835,-0.06943
6.2747,0.53632,9.89554,-0.33041
6.3047,0.69913,10.84606,-1.95612
6.3148,0.50998,9.65850,1.13967
6.3345,0.72307,10.44383,-0.23703
6.3544,0.42858,10.13496,1.25460
6.3726,0.54111,9.80695,0.63927
6.3918,0.03591,9.70639,0.73983
6.4156,-0.04310,10.38158,0.83560
6.4428,0.29210,9.38316,0.24900
6.4554,0.53871,9.52921,-1.48924
6.4780,0.68476,9.14613,-0.79250
6.4942,0.23943,9.44063,-1.26418
6.5143,0.39506,8.82530,-0.38069
6.5364,0.36154,9.46457,-0.05267
6.5541,0.45970,9.76864,-0.19394
6.5765,0.01197,10.51565,0.74223
6.5959,0.33041,9.43105,0.38069
6.6138,0.59378,9.85484,-0.55787
6.6336,0.41421,9.98891,-0.43576
6.6558,0.80448,10.65452,-1.29770
6.6734,0.60336,9.56992,0.61772
6.6936,0.30407,10.17327,0.35914
6.7161,0.45731,9.31133,0.64406
6.7344,0.33041,9.91469,0.52195
6.7537,0.10295,10.24989,0.73983
6.7777,0.30647,9.89314,0.58660
6.7953,0.37830,8.96656,0.36872
6.8135,0.72786,9.15810,-0.79969
6.8360,0.62730,9.26584,-0.17239
6.8553,0.19633,10.58988,0.67279
6.8742,0.06225,10.69044,1.40544
6.8963,0.16042,10.29538,2.22428
6.9142,0.41900,8.77023,-0.25619
6.9342,1.29291,8.95698,-0.28492
6.9564,0.72547,9.27781,-0.92419
6.9754,1.10615,9.62977,-0.42379
6.9976,0.39984,10.27623,0.01437
7.0166,0.14126,10.07511,0.78293
7.0348,-0.06225,10.22834,0.71828
7.0568,0.55547,9.72554,-0.18675
7.0770,0.63448,9.92427,-0.65843
7.0948,0.55787,9.41668,-0.21548
7.1148,0.43097,9.40471,1.00081
7.1405,0.08619,9.92906,1.85796
7.1544,-0.14845,10.06553,1.24981
7.1778,0.15323,9.35683,1.18756
7.1967,0.47885,10.31932,-1.79571
7.2145,0.65603,9.74949,-1.77895
7.2346,1.14207,9.74470,-1.02475
7.2570,0.63927,9.23472,0.09817
7.2797,0.45731,9.40950,1.63050
7.2945,0.27774,9.65132,1.36474
7.3202,0.33759,9.69921,0.39266
7.3381,0.64167,9.51006,-0.36154
7.3584,0.89785,10.00807,-1.40305
7.3779,0.51477,9.82131,0.95292
7.4035,0.12450,9.72554,-0.07422
7.4234,-0.31844,9.74709,0.79490
7.4382,0.49561,9.39274,0.00718
7.4568,0.55787,9.81413,-1.36474
7.4773,0.67758,10.23553,-1.84599
7.4995,0.35196,10.49171,-0.95771
7.5171,-0.43336,10.36003,0.39984
7.5385,0.33759,10.05117,0.51716
7.5776,0.66561,10.02483,-0.26337
7.5777,0.83800,9.70878,1.00081
7.5977,0.89546,9.44781,1.51079
7.6192,0.08380,9.44781,0.93137
7.6370,0.56984,9.43344,0.56505
7.6569,0.39745,10.17327,0.26098
7.6791,0.54350,9.80455,-0.52674
7.6971,0.68476,9.69681,-0.22746
