time,X_value,Y_value,Z_value
Started:,Oct 18 2018,18:15:05:126, 
0.0240,0.04501,-0.03676,0.01427
0.0453,0.04073,-0.00683,-0.02055
0.0595,0.04501,-0.01599,-0.00222
0.0819,0.02241,-0.03982,0.00145
0.0996,0.03951,0.10801,-0.09629
0.1210,-0.01974,-0.07342,0.02466
0.1441,-0.03501,-0.05937,0.01244
0.1600,-0.01791,0.05181,-0.05475
0.1831,-0.03013,-0.07036,0.02283
0.2024,-0.03196,-0.02271,-0.00344
0.2193,0.00897,0.00783,-0.00344
0.2417,0.01141,-0.05876,0.04604
0.2625,0.00591,-0.03127,0.04237
0.2809,-0.00264,0.01516,0.02405
0.3007,-0.03746,0.01333,-0.00711
0.3264,-0.05884,-0.01966,0.00817
0.3400,-0.04357,0.01455,-0.02299
0.3597,-0.07411,-0.03127,-0.01810
0.3821,-0.06067,0.00844,-0.04376
0.4003,-0.07106,-0.08686,0.01000
0.4218,0.00408,0.11656,-0.07674
0.4459,0.01569,-0.09357,0.02527
0.4672,0.03951,0.02493,-0.00039
0.4803,0.01691,-0.03432,0.02099
0.5020,-0.00203,-0.00989,0.01611
0.5222,-0.07839,-0.05570,-0.00039
0.5400,-0.04845,-0.03066,-0.05659
0.5638,0.01385,0.05242,-0.03460
0.5814,0.00164,-0.14244,0.04848
0.6194,0.05967,0.07136,-0.06514
0.6315,0.04440,0.01821,-0.05598
0.6399,-0.01730,-0.05265,-0.00100
0.6598,-0.00325,0.01944,-0.02910
0.6819,-0.01241,-0.02699,0.01550
0.7000,-0.00569,0.00477,0.00267
0.7200,-0.02707,0.00477,-0.00283
0.7555,-0.08022,-0.09602,0.02710
0.7718,-0.03929,0.05670,-0.06147
0.7808,-0.03440,-0.08258,0.03871
0.8064,0.00225,-0.00622,-0.01260
0.8201,0.06211,0.06403,-0.06636
0.8400,0.03096,-0.09113,0.04298
0.8623,0.05173,0.01394,-0.02849
0.9062,0.06211,0.06158,-0.04926
0.9064,0.02363,-0.09968,0.04421
0.9222,0.07189,0.05975,-0.01505
0.9397,0.02913,-0.03799,0.03749
0.9604,-0.01547,-0.02882,0.01244
0.9815,-0.01669,0.01699,-0.05109
0.9997,-0.02830,0.00477,-0.04254
1.0278,-0.03501,-0.00866,-0.01321
1.0425,-0.02585,-0.03249,0.00145
1.0598,-0.01302,0.04692,-0.04926
1.0797,-0.01241,0.01638,-0.02543
1.1025,-0.01119,-0.05814,-0.00466
1.1200,0.00042,0.06281,-0.04803
1.1406,-0.01119,-0.03860,0.02099
1.1720,0.00103,0.00966,-0.01444
1.1812,0.00469,0.02066,-0.01016
1.2012,-0.00875,-0.04654,0.02099
1.2227,0.00836,-0.01294,0.00084
1.2405,0.00591,0.06158,-0.05659
1.2606,-0.00753,-0.01355,0.00572
1.2839,-0.00508,-0.02821,0.01794
1.3190,0.00347,0.00416,0.01183
1.3321,0.02974,0.00844,-0.00161
1.3427,0.04440,-0.06364,0.04604
1.3602,0.03279,0.02738,-0.03765
