time,X_value,Y_value,Z_value
Started:,Oct 04 2018,20:55:58:271, 
0.0233,0.02137,0.02469,-0.01613
0.0397,0.01526,0.01369,-0.03568
0.0587,0.02687,0.01614,-0.03446
0.0815,0.02015,0.00820,-0.03996
0.0993,0.02687,-0.00036,-0.03568
0.1188,0.03725,-0.05106,-0.01552
0.1516,0.01587,-0.03151,-0.00575
0.1588,-0.02567,-0.02174,-0.02163
0.1787,0.01099,-0.05350,-0.00208
0.2012,-0.02444,-0.04434,0.01441
0.2188,-0.02383,-0.03029,0.02601
0.2387,-0.03177,-0.03640,0.03457
0.2615,-0.04094,-0.01746,0.03335
0.2821,-0.05499,0.00759,0.02663
0.2988,-0.02444,-0.00585,0.01807
0.3208,-0.01406,0.01614,0.00036
0.3387,-0.02078,0.04302,-0.03263
0.3586,0.00976,0.01492,-0.02285
0.3813,-0.00978,0.02958,-0.03263
0.3989,-0.01528,0.00575,-0.02530
0.4200,0.02931,-0.05656,0.02846
0.4403,-0.01284,-0.00891,0.02174
0.4584,-0.00184,0.01431,-0.01308
0.4788,0.02076,0.00392,-0.03813
0.5012,0.00732,0.00148,-0.06195
0.5210,0.01526,-0.04128,-0.02469
0.5403,-0.03177,0.03202,-0.01064
0.5841,-0.04277,0.00636,-0.00392
0.5844,0.01099,-0.03823,0.01197
0.6016,-0.02200,0.03507,-0.02285
0.6214,0.00427,-0.01990,-0.02835
0.6392,0.00549,-0.02418,-0.01125
0.6589,-0.02994,0.01492,0.01013
0.6818,-0.02139,-0.01135,0.03090
0.7059,0.00121,-0.04678,0.03701
0.7189,0.01037,-0.03090,0.01319
0.7415,-0.00917,0.02591,-0.01919
0.7592,0.01832,-0.02418,0.00402
0.7793,0.00976,-0.02601,0.03335
0.8020,-0.04338,0.03141,0.02601
0.8211,0.00549,-0.03579,0.02724
0.8548,0.01404,-0.01990,0.00097
0.8674,-0.03727,0.01858,-0.00819
0.8802,-0.02994,0.03141,0.01563
0.8993,0.01587,-0.03151,0.00708
0.9224,0.03542,-0.03273,-0.01369
0.9393,-0.00123,0.02102,-0.04729
0.9593,0.04092,-0.01868,-0.02285
0.9893,0.01037,-0.01379,0.00586
1.0005,-0.03361,0.03019,-0.00758
1.0184,0.01037,-0.00830,0.00158
1.0408,-0.00001,-0.00891,-0.02835
1.0585,-0.00490,0.01675,-0.02652
1.0786,0.00304,-0.01318,-0.01186
1.1013,-0.04705,0.03141,-0.00270
1.1353,0.00366,-0.02846,0.01380
1.1483,-0.02567,0.00820,-0.02530
1.1617,0.01709,-0.02479,-0.02163
1.1788,0.04153,-0.06022,-0.00392
1.1988,0.00915,-0.01990,0.01074
1.2211,-0.03849,0.03935,-0.00514
1.2388,0.03603,-0.02907,0.00463
1.2703,0.03542,-0.03640,-0.02041
1.2810,-0.01528,0.02225,-0.00514
1.2992,-0.01772,0.01308,-0.00453
1.3186,0.00671,-0.02540,-0.00331
1.3412,0.00121,-0.03212,-0.01369
1.3589,-0.01528,0.00392,0.01563
1.3787,-0.02017,-0.01196,0.03457
1.4102,-0.06354,0.03202,0.01258
1.4194,0.00793,-0.04922,0.01074
1.4390,0.00610,-0.03884,-0.00942
1.4614,-0.03116,0.03263,-0.02713
1.4787,-0.01711,0.02102,0.00036
1.4987,0.01221,-0.02784,0.02968
1.5211,-0.01650,-0.00219,0.01197
1.5453,-0.02139,0.00514,0.00769
1.5608,0.01526,-0.01929,0.04434
1.5815,-0.02811,0.01797,0.05900
1.5987,-0.01284,-0.00708,0.03457
1.6187,0.02076,-0.03579,0.03090
1.6414,-0.01528,0.02652,-0.01369
