time,X_value,Y_value,Z_value
Started:,Oct 04 2018,19:39:33:108, 
0.0246,0.38308,9.52443,0.70152
0.0376,0.30168,9.85962,0.74941
0.0597,0.34956,9.58189,0.81645
0.0842,0.14605,9.88596,0.70152
0.0988,0.13408,9.58428,0.83321
0.1198,0.08141,9.86920,0.81405
0.1376,0.21309,9.58428,0.96729
0.1580,0.16760,9.85962,0.77335
0.1804,0.22746,9.62977,0.85954
0.1975,0.08619,9.81892,0.94574
0.2205,0.10774,9.65611,1.08700
0.2400,0.28731,9.59865,0.85715
0.2576,0.22267,9.69442,0.88588
0.2777,0.26576,9.77104,0.85954
0.3001,0.06704,9.87160,1.01996
0.3173,0.34238,9.68724,0.59378
0.3378,0.31844,9.71357,0.80208
0.3633,0.05507,9.93863,0.79250
0.3786,0.35435,9.76385,1.04630
0.3973,0.20112,9.57710,0.68716
0.4195,0.04789,10.03441,0.68955
0.4379,0.20591,9.40471,0.92658
0.4576,0.03591,9.71118,0.91222
0.4803,0.15323,9.76864,0.96010
0.5009,0.10774,9.85484,0.67040
0.5266,0.35675,9.52203,1.01996
0.5401,0.47646,9.82371,0.69434
0.5577,0.14605,9.71836,1.05109
0.5777,-0.05028,10.24750,1.00560
0.6003,0.22027,9.87160,0.92180
0.6177,0.31844,9.70639,0.94574
0.6473,0.11493,9.92427,0.85715
0.6607,0.32562,9.55795,1.01517
0.6780,0.21548,9.70400,0.95532
0.6975,0.12450,9.63935,0.95532
0.7202,-0.01197,9.86920,0.90504
0.7380,0.46449,9.47893,0.76377
0.7582,0.22506,9.63935,0.95292
0.7863,-0.18196,9.76385,0.98884
0.8029,-0.13169,10.11581,0.72068
0.8179,0.52674,9.27063,0.76377
0.8401,0.37351,9.62020,0.67279
0.8579,0.10295,9.66090,0.84757
0.8787,0.04789,9.87638,0.84518
0.9012,0.17239,9.50527,1.09658
0.9349,0.50519,9.75906,1.03912
0.9474,0.35914,10.00567,1.25699
0.9604,0.24422,10.18285,1.17080
0.9789,-0.09098,9.79019,1.51318
0.9976,0.28971,9.53400,1.26418
1.0197,0.39745,9.13416,1.18038
1.0380,0.00958,9.89075,1.13967
1.0645,0.00239,9.62020,1.16122
1.0807,-0.02155,9.42387,1.25699
1.0981,0.28492,9.22993,0.82124
1.1176,0.66321,9.15810,0.96250
1.1404,0.44294,9.69442,1.08221
1.1576,0.04789,10.02722,0.98884
1.1789,-0.03831,10.28820,0.89306
1.2118,-0.14366,10.28820,1.19714
1.2259,0.47646,9.59865,0.70392
1.2373,0.42618,9.22035,1.09418
1.2601,0.13408,9.63696,1.12531
1.2778,-0.18915,9.89314,1.24023
1.2983,0.18675,9.95539,0.86912
1.3209,0.18436,9.83568,1.09897
1.3478,0.35914,9.47893,1.23545
1.3602,-0.27295,9.60104,1.62332
1.3798,-0.09338,9.48133,1.58262
1.3977,0.19872,9.46217,1.08461
1.4176,0.43815,9.31373,1.06545
1.4408,0.66321,9.44541,1.15643
1.4580,0.07183,9.64414,0.87391
1.4896,0.12690,9.95061,1.09418
1.5058,-0.16042,9.97215,0.87870
1.5178,0.18675,9.74949,0.67279
1.5381,0.31126,9.93863,0.86673
1.5609,0.04549,9.98891,0.79729
1.5782,0.40224,9.88836,0.62730
1.5984,0.23464,9.48133,0.90982
1.6338,-0.07422,9.64893,0.94813
1.6510,0.31365,9.62020,0.96489
1.6573,0.12450,9.76864,0.71589
1.6798,-0.02394,9.63696,1.12052
1.6976,0.10774,9.96976,1.23066
1.7181,0.26816,9.72315,0.36154
1.7401,0.29689,9.30415,0.78772
1.7654,0.60096,9.35443,0.40224
1.7771,0.36154,8.92346,0.41421
1.8003,0.00479,9.28260,0.25619
1.8175,0.21070,9.61780,-0.01915
1.8386,1.13010,9.49091,0.58899
1.8602,0.68237,9.36880,0.33041
1.8774,0.00000,10.44143,0.12211
1.9091,0.38069,10.01286,0.47407
1.9235,0.34238,10.37918,-0.05507
1.9379,0.36632,9.95061,0.91222
1.9587,-0.42858,9.86202,0.39506
1.9802,-0.44773,10.24989,0.19394
1.9979,-0.07422,10.20679,-0.45012
2.0181,0.71828,9.44063,0.53153
2.0554,0.92898,9.64653,0.54589
2.0703,-0.33999,9.88596,0.11014
2.0781,-0.40463,10.20919,0.29450
2.1002,-0.15563,9.98891,0.16999
2.1170,0.62969,9.53161,-0.30168
2.1374,0.62012,9.81653,-0.05507
2.1601,0.53392,9.64174,0.24422
2.1953,-0.25858,10.20440,0.36872
2.2065,-0.33280,10.28341,0.46688
2.2198,-0.02873,10.04398,0.37351
2.2375,0.34478,9.98413,0.04549
2.2575,0.80926,10.00089,0.14605
2.2799,0.77096,9.83329,0.13647
2.2980,0.16999,10.41988,0.11971
2.3298,0.05028,9.81174,0.54111
2.3441,0.48364,9.49330,0.54589
2.3575,0.23943,9.10543,-0.43815
2.3775,0.52913,8.32250,0.01676
2.4000,0.35435,8.21476,0.02634
2.4178,0.44534,10.27862,-0.24422
2.4380,1.15404,9.39274,-0.33041
2.4694,1.03912,10.58748,-0.84757
2.4780,0.71589,10.14454,0.07422
2.4980,0.51237,9.69202,0.26816
2.5203,0.12450,10.12778,1.09897
2.5375,0.01915,9.81892,0.07662
2.5572,0.46449,9.06712,0.36872
2.5794,0.03352,9.75188,-0.59857
2.6040,0.31844,9.45260,0.71349
2.6204,0.28492,10.64495,-0.34956
2.6394,0.41660,10.58270,-0.28731
2.6571,0.47646,10.24271,-0.40942
2.6772,0.46688,9.68484,-0.57702
2.7004,-0.03113,9.75906,-0.23703
2.7179,-0.06943,10.18285,1.02954
2.7497,0.15802,9.45260,-0.00479
2.7627,0.26098,9.39753,0.52913
2.7778,-0.36872,9.24430,1.32882
2.7972,-0.45252,9.53161,0.85476
2.8195,-0.48364,9.84765,0.71349
2.8370,0.22027,9.60344,0.77814
2.8570,0.23703,9.87878,0.23703
2.8851,0.27295,9.55316,0.30168
2.9025,0.00958,9.64893,0.22746
2.9173,0.46928,9.80216,0.03352
2.9394,0.49322,9.61780,-0.16760
2.9575,1.08940,9.67048,-0.20830
2.9776,0.57223,10.53960,-0.29928
3.0006,0.84039,10.17567,-0.55547
3.0294,1.14686,9.74709,-0.15084
3.0434,0.54350,9.95779,-0.06943
3.0607,-0.25379,10.48692,-0.28492
3.0777,1.12291,9.70400,-0.19154
3.0977,0.44534,9.95061,-0.07422
3.1200,0.28013,9.55076,-0.21070
3.1379,0.43815,10.23313,0.09098
3.1747,0.33041,10.01046,-0.15084
3.1868,0.25140,9.44302,0.36154
3.1974,0.11014,9.90033,-0.14845
3.2177,-0.34238,10.42707,0.66321
3.2401,-0.35435,10.39355,1.28573
3.2581,0.46210,10.06314,0.37111
3.2799,-0.09577,10.78860,0.39745
3.3121,-0.13647,10.15891,1.65923
3.3213,0.15323,9.60344,0.80687
3.3378,-0.14845,9.47415,0.67758
3.3601,-0.08619,9.52203,1.40783
3.3777,0.99123,8.65291,1.86035
3.3976,0.13647,9.13416,0.76138
3.4203,0.10056,10.15891,-0.57223
3.4456,0.22506,8.73431,1.35995
3.4589,-0.30886,9.76146,-0.06465
3.4802,0.48125,9.90512,-0.56026
3.4979,0.77096,8.87558,-0.45731
3.5192,0.49322,9.21796,-0.77096
3.5414,0.03831,10.22116,-0.31844
3.5592,1.33361,9.87878,-1.00799
3.5901,0.74223,10.15891,-0.58899
3.6109,-0.19394,10.65931,0.16042
3.6185,0.56026,9.85005,0.37351
3.6383,-0.15323,9.47175,0.75420
3.6601,-0.48604,9.65132,1.47008
3.6779,-0.18436,9.95539,1.74543
3.6984,0.14126,9.69681,1.43896
3.7328,-0.07183,10.19482,-0.48843
3.7463,0.32562,9.77104,-0.37351
3.7575,0.24661,9.73752,-0.51477
3.7799,0.41421,10.13496,-0.55068
3.7992,0.71110,10.00328,-0.38069
3.8192,-0.03352,10.05835,0.51237
3.8413,-0.14126,10.08469,1.19714
3.8661,0.79250,9.62977,1.53952
3.8785,-0.45012,10.54918,0.97926
3.8999,-0.15323,10.32890,0.51477
3.9177,0.74941,9.50527,-0.25140
3.9377,-0.47407,10.34806,0.22985
3.9605,-0.97926,10.84606,0.13408
3.9782,0.98405,8.71995,0.84518
4.0099,-0.11971,9.90033,0.33520
4.0238,0.10774,9.46936,1.36474
4.0376,0.51956,9.41429,0.64645
4.0576,0.03352,9.30655,-0.04070
4.0799,0.13169,9.76864,-0.29689
4.0978,0.35675,9.35922,0.02394
4.1177,0.21788,9.66569,0.61293
4.1515,-0.12211,10.23792,1.26418
4.1659,0.33280,10.51565,0.81645
4.1789,0.82124,9.95300,0.72547
4.2011,0.23943,10.00089,0.33280
4.2189,0.29210,10.02483,0.40942
4.2383,0.20351,9.37359,0.97447
4.2616,0.43336,9.62498,0.59139
4.2985,0.20830,10.00328,0.15802
4.2987,0.25858,8.84445,-0.16520
4.3202,0.32083,8.86600,0.65124
4.3387,0.49801,8.83727,0.82363
4.3589,0.15084,10.09905,0.34238
4.3802,0.38548,10.70959,0.10295
4.3976,0.62012,9.88836,-0.21548
4.4270,-0.03352,9.93624,0.64645
4.4399,-0.09577,10.44622,0.95292
4.4590,0.65603,10.06074,0.23943
4.4787,1.29530,10.14694,-0.76856
4.5014,-0.23464,9.60104,1.37192
4.5174,-0.16520,9.87399,1.66642
4.5377,0.08859,9.89793,0.23464
4.5715,0.55068,10.45819,-0.31844
4.5793,-0.26816,9.97455,0.26337
4.5982,-0.28492,9.42387,1.06785
4.6198,0.32562,9.39753,-0.14845
4.6388,0.83560,10.15891,-0.46210
4.6594,0.50040,9.72794,0.17239
4.6816,-0.07183,9.39513,1.46290
4.7092,0.24661,9.44541,1.19474
4.7287,0.86673,10.40552,-0.19633
4.7415,0.46928,9.81892,1.32403
4.7574,-0.30886,10.02004,1.44375
4.7778,0.14366,9.86441,1.47727
4.7999,1.04869,10.17327,-0.67519
4.8182,1.08221,9.94582,0.03591
4.8520,0.00000,9.61301,0.44534
4.8662,-0.06225,9.56273,1.16362
4.8775,0.38548,9.88596,0.29689
4.8975,1.15404,9.28500,0.76138
4.9199,0.71828,9.67048,-0.44534
4.9378,-0.22027,9.39274,0.58181
4.9579,0.19872,10.49650,-0.45491
4.9961,0.75420,9.34485,0.47407
5.0087,0.46210,9.82850,0.19394
5.0178,0.13647,9.89314,0.81166
5.0399,-0.49322,10.40312,0.53632
5.0575,0.40463,9.64174,2.06147
5.0778,0.11014,10.01286,1.07982
5.0999,0.44055,9.49091,0.46688
5.1291,-0.05507,10.20440,0.34717
5.1417,0.26816,9.51485,-0.16520
5.1594,0.77575,9.62738,-0.38308
5.1774,0.58420,10.14454,0.25140
5.1976,0.20112,10.00807,-0.15323
5.2204,0.37830,10.05835,-0.00239
5.2379,0.49561,9.80695,-0.21788
5.2709,0.81166,8.93064,0.21788
5.2908,0.52435,9.85484,0.08859
5.2975,0.35914,10.10863,0.33041
5.3175,0.82124,9.90272,0.57941
5.3398,0.59378,10.03441,0.11253
5.3589,0.48125,9.79258,0.43097
5.3789,0.12690,9.96737,0.33041
5.4173,0.36393,9.91948,0.26816
5.4174,-0.22027,10.53720,1.23066
5.4377,-0.22985,10.19482,1.01517
5.4600,0.31365,9.74949,1.20193
5.4774,-0.35196,9.45739,0.16281
5.4977,-0.05507,8.94980,1.06545
5.5210,0.18436,9.33049,0.38548
5.5508,-0.04070,9.88836,0.48604
5.5651,-0.32802,9.39274,1.71909
5.5842,-0.07901,9.29457,0.65843
5.5975,0.20112,9.72315,0.27055
5.6190,0.70871,8.91149,0.91701
5.6412,1.07024,8.85642,0.62491
5.6590,-0.62012,9.52443,0.79969
5.6880,-0.40703,9.51964,1.67839
5.7083,-0.24661,9.79977,0.35675
5.7171,-0.74941,8.96656,1.50839
5.7374,-0.76138,9.80695,1.13010
5.7597,0.63927,10.04398,-0.40942
5.7793,-0.13647,9.97215,0.80687
5.7993,-0.56505,10.51326,0.75899
5.8314,0.50759,10.19482,-1.20432
5.8435,-0.61293,9.90751,1.12052
5.8571,-0.36393,8.90191,-0.24900
5.8795,0.56505,9.40471,-0.50519
5.8972,-0.32083,10.37918,0.08859
5.9174,0.80687,9.44302,0.54111
5.9395,0.84518,9.40950,0.07901
5.9703,0.06225,10.54678,0.59378
5.9779,0.75180,9.90512,0.16281
5.9997,0.57941,10.14694,-0.08619
6.0186,0.95053,9.56752,-0.06465
6.0386,0.27774,10.55157,-0.71589
6.0609,0.41421,10.20201,0.08380
6.0786,0.07901,9.68724,-0.27055
6.1103,0.76617,9.01205,-0.54589
6.1265,0.49561,9.52443,0.43336
6.1375,-0.13887,9.87160,1.20911
6.1574,-0.04310,10.71438,0.58899
6.1799,-0.31604,9.61301,2.13090
6.1972,0.07183,9.74709,0.80208
6.2176,0.34238,10.09187,1.04390
6.2505,0.84997,9.52682,0.47885
6.2647,-0.31604,8.66727,2.25301
6.2778,-1.25221,10.97057,0.89785
6.2994,-0.05267,8.79417,1.34798
6.3179,0.88349,8.57629,0.70631
6.3378,-0.30168,9.59865,0.14845
6.3603,-0.15084,10.06553,0.31604
6.3896,-0.46210,9.78780,0.73983
6.4089,0.92180,9.60104,0.07183
6.4196,1.05348,9.37598,-0.69673
6.4370,0.38069,9.72794,-0.33999
6.4570,-0.10056,10.08229,0.17239
6.4801,0.52913,10.23074,0.21548
6.4982,0.63927,9.93863,-0.55547
6.5366,0.29689,10.14215,-0.09338
6.5503,0.42618,9.57710,1.32164
6.5572,0.05507,10.48932,-0.34717
6.5770,-0.00479,10.14215,1.25939
6.5994,-0.73504,10.58270,2.09738
6.6172,0.70152,9.13416,1.55388
6.6374,-0.32083,8.83248,0.95532
6.6726,-0.26337,8.38954,2.35118
6.6776,-0.45012,9.05994,2.41103
6.6979,-0.17718,10.21398,0.98644
6.7194,-0.00718,9.35443,1.29051
6.7370,0.02873,9.45020,1.24263
6.7573,-0.56744,9.93624,0.22267
6.7794,0.08141,9.78061,0.28731
6.8050,0.56265,9.40950,1.24981
6.8223,0.07901,10.64973,0.46449
6.8406,0.17478,10.07750,0.33041
6.8573,0.27295,10.18524,0.91461
6.8772,0.48843,10.15172,0.50040
6.9008,0.45252,10.27383,0.58899
6.9184,0.31365,9.69921,0.84997
6.9487,0.37590,9.59146,1.21869
6.9623,0.53153,9.58907,0.38548
6.9779,0.20112,9.78780,0.85476
6.9976,-0.00958,9.70400,1.81725
7.0201,-0.04549,9.78540,1.21390
7.0383,0.09577,9.36161,1.80768
7.0581,-0.13647,9.00487,2.67680
7.0885,-0.72068,10.25468,2.20034
7.1039,-0.60336,8.96656,2.64089
7.1180,-0.11253,9.28739,1.48924
7.1402,-0.02394,9.17726,1.92739
