time,X_value,Y_value,Z_value
Started:,Oct 20 2018,20:08:55:948, 
0.0197,0.07685,-0.08638,0.01856
0.0477,0.06402,-0.08943,-0.01931
0.0614,0.08479,-0.09737,-0.04130
0.0797,0.04875,-0.06744,-0.07185
0.1023,0.00782,-0.03995,-0.08773
0.1202,0.02309,-0.02407,-0.08651
0.1404,-0.02700,-0.01552,-0.05230
0.1625,-0.00378,-0.05645,-0.01504
0.1836,0.01393,-0.06072,0.01123
0.1998,0.06585,-0.09554,0.01978
0.2225,0.06097,-0.17557,0.00940
0.2411,0.06830,-0.12853,-0.00404
0.2610,0.02859,-0.11570,-0.01931
0.2841,0.01882,-0.12242,-0.01992
0.3004,0.02432,-0.07660,-0.00343
0.3242,-0.00867,-0.04728,0.01429
0.3418,-0.03066,-0.04301,0.04544
0.3601,-0.01356,-0.04667,0.06499
0.3795,0.01149,-0.03446,0.06621
0.4025,0.00721,-0.05584,0.06621
0.4204,-0.00501,-0.09065,0.05033
0.4404,-0.01478,-0.10409,0.04483
0.4656,-0.02639,-0.12181,0.03933
0.4800,-0.03005,-0.12792,0.01978
0.4998,-0.04593,-0.08027,-0.01992
0.5241,-0.01356,-0.08332,-0.04069
0.5418,-0.01600,-0.11875,-0.04253
0.5636,0.00294,-0.13586,-0.04253
0.5839,0.00171,-0.14624,-0.03153
0.6300,-0.00378,-0.14380,-0.03764
0.6302,0.00049,-0.16090,-0.04130
0.6453,-0.01539,-0.10409,-0.05352
0.6638,-0.01172,-0.13586,-0.05902
0.6814,-0.00134,-0.16335,-0.05291
0.7022,-0.01295,-0.12792,-0.07734
0.7214,-0.00073,-0.08943,-0.08651
0.7629,-0.01050,-0.10715,-0.07734
0.7764,-0.02455,-0.09004,-0.07001
0.7804,-0.03005,-0.12181,-0.07368
0.7998,0.02615,-0.12853,-0.07612
0.8225,-0.00012,-0.15174,-0.07246
0.8399,-0.00928,-0.14869,-0.05658
0.8601,-0.05510,-0.13158,-0.04436
0.9023,-0.04654,-0.17129,-0.00587
0.9163,-0.05693,-0.16029,0.01734
0.9201,-0.06304,-0.16640,0.03444
0.9454,-0.06365,-0.19878,0.04238
0.9601,-0.06548,-0.20061,0.01245
0.9801,-0.04960,-0.18962,0.00329
1.0037,-0.05815,-0.19145,0.00818
1.0395,-0.02639,-0.19145,0.03139
1.0599,-0.05326,-0.20855,0.06193
1.0679,-0.04166,-0.20489,0.10958
1.0823,-0.03616,-0.20916,0.11752
1.1030,-0.01478,-0.21405,0.11141
1.1245,0.02432,-0.24154,0.09981
1.1422,-0.00012,-0.22505,0.07415
1.1709,0.01271,-0.23176,0.05460
1.1861,0.02004,-0.22321,0.03872
1.2023,0.01943,-0.20428,0.03689
1.2223,0.02371,-0.21283,0.04300
1.2440,0.02309,-0.23971,0.06010
1.2632,0.01637,-0.27514,0.06499
1.2820,0.01149,-0.28980,0.06315
1.3109,-0.02944,-0.26109,0.03322
1.3219,0.01454,-0.29591,0.00268
1.3439,-0.00134,-0.29407,-0.05780
1.3642,0.04325,-0.27453,-0.09017
1.3822,0.04814,-0.23910,-0.12560
1.4021,0.04936,-0.26658,-0.12866
1.4265,0.03470,-0.28858,-0.11888
1.4611,0.06280,-0.27514,-0.11644
1.4789,0.08174,-0.29407,-0.10544
1.4843,0.09518,-0.31545,-0.09811
1.5015,0.07746,-0.32156,-0.09567
1.5222,0.06219,-0.35821,-0.07612
1.5448,0.05730,-0.38143,-0.06818
1.5620,0.06402,-0.40342,-0.04986
1.6001,0.05608,-0.40953,-0.04680
1.6183,0.03042,-0.38082,-0.04069
1.6222,0.00782,-0.34172,-0.03581
1.6473,0.00232,-0.31423,-0.02237
1.6644,-0.00317,-0.33317,-0.00099
1.6824,-0.01600,-0.33683,0.01062
1.7025,-0.00745,-0.32645,0.02039
1.7444,0.00843,-0.31790,0.03444
1.7446,-0.01295,-0.30996,0.04361
1.7621,-0.01539,-0.32950,0.04972
1.7865,-0.00989,-0.33806,0.05216
1.8026,0.00355,-0.34722,0.05766
1.8218,-0.00439,-0.37287,0.06560
1.8438,-0.00134,-0.35944,0.05643
1.8707,0.01149,-0.35272,0.05643
