time,X_value,Y_value,Z_value
Started:,Oct 18 2018,18:37:52:472, 
0.0229,-0.03563,0.02554,-0.00955
0.0386,-0.05578,-0.03799,0.00450
0.0582,-0.03440,0.05303,-0.00588
0.0864,-0.05212,0.02615,-0.00650
0.0985,-0.05823,-0.03066,0.00511
0.1188,-0.03868,0.02982,0.01000
0.1410,-0.01974,0.00477,0.00633
0.1603,0.01141,0.04754,-0.00650
0.1793,-0.01547,-0.03188,0.01672
0.2007,-0.02402,-0.08441,0.01305
0.2217,0.07189,0.12328,-0.06147
0.2410,0.05417,0.05120,-0.01993
0.2610,-0.00020,-0.08075,0.03321
0.2782,0.01752,-0.06547,0.00511
0.2982,0.08899,0.12878,-0.06147
0.3208,0.04440,0.00905,-0.00772
0.3385,-0.04662,-0.17299,0.06986
0.3623,0.05112,0.15810,-0.07491
0.3806,0.07983,0.21247,-0.08896
0.3986,-0.09366,-0.17054,0.07536
0.4183,-0.05884,-0.11679,0.05032
0.4410,0.08044,0.20208,-0.06636
0.4587,0.01324,0.04082,-0.00222
0.4798,-0.07900,-0.19803,0.08575
0.5036,0.00652,0.01944,-0.00161
0.5185,0.07738,0.14833,-0.06269
0.5396,-0.00936,-0.03799,0.01977
0.5617,-0.07228,-0.22674,0.10102
0.5792,0.07372,0.15321,-0.04376
0.5992,0.06639,0.12267,-0.05414
0.6213,-0.06006,-0.15100,0.07292
0.6460,-0.07594,-0.17971,0.07780
0.6617,0.06150,0.15993,-0.07125
0.6809,0.06089,0.15993,-0.05842
0.6991,-0.09488,-0.17971,0.06070
0.7196,-0.02035,-0.04348,0.01244
0.7415,0.07494,0.22041,-0.08530
0.7596,-0.04051,-0.05631,0.01122
0.7856,-0.06434,-0.09113,0.02405
0.8022,0.02913,0.13916,-0.07308
0.8205,0.03035,0.03349,-0.02726
0.8390,-0.07228,-0.17849,0.06375
0.8610,0.00164,-0.02638,-0.01688
0.8803,0.06150,0.14039,-0.07674
0.8993,-0.00997,-0.07708,0.01305
0.9320,-0.05578,-0.14550,0.03260
0.9471,0.04623,0.06708,-0.04681
0.9592,0.06089,0.08480,-0.04742
0.9824,-0.02646,-0.09602,0.03382
0.9993,-0.02830,-0.09785,0.02160
1.0200,0.03890,0.07014,-0.04254
1.0413,0.08288,0.13489,-0.05842
1.0663,-0.05823,-0.23285,0.10163
1.0791,0.04440,0.01210,-0.00100
1.1024,0.15619,0.23202,-0.08163
1.1193,-0.02646,-0.13572,0.06314
1.1390,-0.10771,-0.27439,0.10774
1.1616,0.09876,0.18437,-0.07980
1.1805,0.07250,0.15749,-0.04559
1.2058,-0.12909,-0.23774,0.09980
1.2214,-0.00753,0.05242,0.00084
1.2391,0.05051,0.20575,-0.06758
1.2593,-0.09793,-0.12106,0.06498
1.2814,-0.10710,-0.12167,0.07292
1.2992,0.03279,0.15321,-0.04681
1.3189,-0.00814,0.04815,-0.01321
1.3472,-0.09305,-0.14244,0.07475
1.3599,-0.03563,-0.02882,0.01733
1.3790,0.04257,0.11473,-0.05292
1.4013,-0.02891,-0.01477,0.01855
1.4193,-0.08022,-0.14916,0.05459
1.4392,0.03096,0.08297,-0.03582
1.4613,0.03829,0.06586,-0.04131
1.4856,-0.08999,-0.16993,0.06681
1.4991,-0.01486,-0.02333,0.01305
1.5209,0.04501,0.12817,-0.03582
1.5391,-0.03196,-0.04654,0.02649
1.5590,-0.06250,-0.11984,0.05398
1.5813,0.03279,0.09946,-0.04131
1.5989,0.03890,0.14161,-0.04803
1.6249,-0.10588,-0.21269,0.09613
1.6443,-0.03501,-0.05998,0.02955
1.6594,0.08899,0.21064,-0.09141
1.6791,0.00652,0.03532,-0.01810
1.7007,-0.09244,-0.24202,0.06864
1.7190,0.04257,0.12756,-0.06819
1.7397,0.07861,0.20758,-0.10179
1.7678,-0.10404,-0.19681,0.08025
1.7837,-0.09610,-0.19070,0.07231
1.7988,0.06639,0.18864,-0.07308
1.8224,-0.00691,0.03410,-0.01749
1.8401,-0.11259,-0.21636,0.07719
1.8587,0.01263,0.04265,-0.05109
1.8813,0.10487,0.23874,-0.12256
1.9049,-0.02341,-0.06425,-0.00100
1.9193,-0.08388,-0.18154,0.06864
1.9410,0.03279,0.09457,-0.06697
1.9591,0.06639,0.14466,-0.09385
1.9791,-0.09793,-0.20353,0.06681
2.0010,-0.05334,-0.12045,0.01916
2.0187,0.11159,0.24057,-0.12073
2.0499,-0.01608,-0.12595,0.03382
2.0659,-0.06922,-0.22674,0.08636
2.0797,0.09449,0.18559,-0.08774
2.0993,0.04073,0.07014,-0.04681
2.1208,-0.11382,-0.28844,0.11079
2.1383,0.00713,-0.00072,-0.01383
2.1582,0.10854,0.24057,-0.11401
2.1866,-0.05212,-0.18032,0.04604
2.2047,-0.04784,-0.08686,0.02222
2.2179,0.08960,0.19903,-0.11034
2.2414,0.01569,0.02921,-0.02543
2.2580,-0.11076,-0.26401,0.08086
2.2781,0.03157,0.12634,-0.06636
2.3002,0.05417,0.13611,-0.07980
2.3244,-0.08633,-0.18215,0.07658
2.3442,-0.04662,-0.10640,0.03260
2.3608,0.08899,0.27233,-0.10484
2.3790,-0.00753,0.02188,-0.01383
2.3982,-0.09121,-0.20231,0.06742
2.4209,0.01569,0.08846,-0.03948
2.4386,0.02118,0.11717,-0.06392
2.4650,-0.06556,-0.16382,0.06009
2.4810,-0.01425,-0.02027,-0.00283
2.4993,0.09999,0.21247,-0.09507
2.5188,-0.05762,-0.14000,0.03199
2.5408,-0.06556,-0.14305,0.05337
2.5588,0.09327,0.24423,-0.10729
2.5787,0.01080,0.04020,-0.02116
2.6069,-0.10832,-0.21941,0.09185
2.6192,0.00042,0.03226,-0.00466
2.6424,0.03890,0.16604,-0.07064
2.6613,-0.08388,-0.12534,0.04543
2.6785,-0.04479,-0.08319,0.03749
2.6981,0.03462,0.09396,-0.05536
2.7201,0.01996,0.03471,-0.03093
2.7438,-0.06373,-0.15710,0.04726
2.7614,0.02485,0.00111,-0.01688
2.7800,0.10182,0.17093,-0.07858
2.7982,-0.07839,-0.20536,0.07536
2.8180,-0.03929,-0.12534,0.03199
2.8422,0.10426,0.21919,-0.09874
2.8589,0.00652,-0.01783,0.01183
2.8845,-0.03074,-0.13450,0.05032
2.9017,0.09693,0.16604,-0.06880
2.9188,0.05051,0.12023,-0.04620
2.9384,-0.07839,-0.18459,0.06986
2.9608,0.01752,0.02799,-0.01993
2.9787,0.06333,0.11717,-0.05536
2.9997,-0.03013,-0.05753,0.01794
3.0274,-0.07044,-0.18032,0.04237
3.0445,0.06211,0.13122,-0.06331
3.0611,0.07677,0.13489,-0.05231
3.0806,-0.11931,-0.29760,0.10346
3.0985,0.00103,0.00661,0.00267
3.1185,0.08960,0.18131,-0.07186
3.1406,-0.12359,-0.24751,0.10957
3.1690,-0.07167,-0.08075,0.03138
3.1828,0.05600,0.25767,-0.10362
3.2019,-0.07655,-0.04409,0.02283
3.2185,-0.12603,-0.20720,0.07658
3.2382,0.05356,0.19842,-0.07308
3.2610,-0.00814,0.07930,-0.02849
3.2789,-0.08266,-0.14305,0.06314
3.3048,-0.06556,-0.08563,0.02710
3.3218,-0.04112,0.02127,-0.01627
3.3384,0.01080,0.08541,-0.04498
3.3585,-0.04540,0.01577,-0.02177
3.3806,0.03035,0.13367,-0.09446
3.4001,0.00164,0.04020,-0.03337
3.4186,-0.05945,-0.12839,0.01855
3.4479,0.05173,0.07991,-0.05659
3.4631,0.12931,0.23202,-0.07430
3.4796,-0.21217,-0.52546,0.20486
3.5008,-0.05701,-0.17177,0.06498
3.5201,0.21666,0.40428,-0.13294
3.5382,0.02729,0.01699,0.00572
3.5608,-0.09549,-0.28783,0.09735
3.5848,0.06150,0.15810,-0.07125
3.6001,0.02729,0.03287,-0.02238
3.6210,-0.06678,-0.22308,0.08330
3.6386,0.04867,0.11107,-0.02177
3.6599,0.07983,0.13428,-0.06086
3.6807,-0.07472,-0.17054,0.06620
3.6986,-0.05212,-0.07342,0.02160
3.7253,-0.01425,0.03165,-0.05598
3.7427,-0.03563,0.08480,-0.06147
3.7585,-0.12115,-0.12473,0.04787
3.7785,-0.08266,-0.11434,0.04176
3.8017,0.06883,0.25217,-0.09935
3.8195,-0.01486,-0.01172,-0.01993
3.8393,-0.08266,-0.22674,0.06437
3.8676,0.03157,0.10801,-0.06453
3.8795,-0.04845,-0.00683,0.00511
3.8998,-0.07167,-0.08075,0.04298
3.9222,0.04501,0.05364,-0.03093
3.9394,0.02852,-0.03371,0.01122
3.9610,-0.01669,-0.11557,0.01794
3.9818,0.05234,0.05670,-0.06269
4.0072,0.03279,-0.04898,-0.02971
4.0204,0.04990,0.00416,-0.04193
4.0423,0.07433,0.05670,-0.07491
4.0604,-0.00997,-0.12839,0.01611
4.0806,0.08471,0.10312,-0.04376
4.1025,0.03340,-0.02821,0.00511
4.1204,-0.01058,-0.08380,0.02710
4.1458,0.03035,0.01821,-0.02421
4.1628,0.01141,0.01333,-0.00588
4.1808,0.00103,-0.03493,0.00694
4.2019,0.03279,0.05181,-0.03704
4.2241,-0.03135,-0.10824,0.01061
4.2403,0.00164,0.04692,-0.01932
4.2604,-0.00997,0.01210,-0.00039
4.2942,-0.00630,0.03165,-0.01993
4.3036,-0.00875,0.06158,-0.04742
4.3201,-0.07106,-0.13389,0.03565
4.3439,-0.00264,0.04387,-0.02055
4.3601,-0.00081,0.07808,-0.02604
4.3802,0.00042,0.03471,-0.03093
4.4025,-0.01852,-0.06059,0.01855
4.4253,-0.01669,-0.01538,0.02160
4.4452,-0.00325,0.01699,-0.00955
4.4638,-0.04112,-0.07036,0.02466
4.4820,-0.00630,-0.01172,-0.00161
4.5001,0.00897,0.01149,-0.01321
4.5222,-0.02768,-0.00744,-0.02482
4.5408,0.01080,0.04509,-0.03337
4.5667,0.04440,0.10496,-0.05414
4.5825,-0.03563,-0.14428,0.04543
4.6006,0.02057,0.03776,-0.01077
4.6202,0.08105,0.13000,-0.05170
4.6423,-0.00386,-0.07952,0.02588
4.6614,-0.01852,-0.15710,0.03810
4.6801,0.07128,0.08480,-0.05720
4.7084,0.02363,-0.02455,-0.01016
4.7204,-0.01180,-0.02943,0.02466
4.7410,0.01996,0.01272,-0.01260
4.7638,0.01569,0.04020,-0.01749
