time,X_value,Y_value,Z_value
Started:,Oct 20 2018,17:59:11:729, 
0.0234,0.13916,-0.08821,0.01429
0.0398,0.09884,-0.06989,0.04910
0.0597,-0.01906,0.04129,0.06254
0.0841,-0.04227,0.03030,0.03567
0.1000,0.05791,-0.04423,0.01978
0.1198,0.01699,-0.00147,0.02345
0.1420,-0.03494,0.02419,-0.00465
0.1604,-0.04410,0.03641,0.01490
0.1798,-0.07953,0.06634,0.02406
0.2024,-0.04349,0.03579,0.01001
0.2256,-0.01356,-0.00636,0.01673
0.2451,0.00599,-0.00330,0.01367
0.2620,-0.01234,0.01380,0.01673
0.2795,-0.05693,0.02907,0.01490
0.2997,-0.03494,0.00525,0.00390
0.3219,-0.02639,0.01441,0.01062
0.3412,-0.02639,-0.00697,0.00207
0.3642,0.07685,-0.08088,0.00940
0.3823,-0.02150,-0.02407,0.00757
0.4002,-0.07159,0.01625,0.02284
0.4203,-0.02577,-0.01674,0.03750
0.4422,-0.04532,0.00647,0.01734
0.4606,-0.02883,-0.00819,0.00573
0.4803,0.03531,-0.05034,0.00818
0.5053,-0.02883,-0.00574,0.03689
0.5205,0.00966,-0.02774,0.05766
0.5402,-0.07342,0.02907,0.08637
0.5622,-0.01050,-0.03507,0.06987
0.5807,0.12877,-0.08943,0.02895
0.6001,-0.01661,0.01136,0.00573
0.6225,-0.01844,0.04496,-0.03764
0.6467,0.09090,-0.02468,-0.07979
0.6632,-0.10519,0.08466,-0.11705
0.6831,-0.05693,0.04251,-0.10728
0.7000,0.06036,-0.00147,-0.07429
0.7204,-0.09847,0.07489,-0.08040
0.7433,-0.02516,0.01930,-0.08834
0.7611,0.06402,-0.05278,-0.05169
0.7923,0.03226,-0.03201,-0.04253
0.8047,-0.08259,0.02785,-0.01687
0.8215,0.00721,-0.03507,0.00695
0.8412,-0.00806,-0.02590,0.02772
0.8641,0.18558,-0.08821,0.05094
0.8818,-0.10152,0.09994,0.05094
0.9020,0.08235,-0.02285,0.05216
