time,X_value,Y_value,Z_value
Started:,Oct 20 2018,21:36:11:807, 
0.0237,0.15802,9.68005,0.65364
0.0425,0.06704,9.89075,0.75420
0.0600,0.07183,9.59865,0.69673
0.0799,0.29450,9.75428,0.65364
0.1025,-0.02394,9.73512,1.01517
0.1198,0.26816,9.75667,0.60336
0.1405,0.01437,9.71836,0.74462
0.1629,0.20351,9.77582,0.66561
0.1802,0.12690,9.65372,0.72547
0.2013,0.14605,9.86920,0.78532
0.2232,0.16999,9.59625,0.69673
0.2426,0.24182,9.82131,0.68237
0.2603,0.08141,9.62498,0.84039
0.2828,0.27055,9.78061,0.68716
0.3007,-0.00718,9.71118,0.82602
0.3223,0.32323,9.68245,0.63448
0.3439,0.07662,9.66569,0.87391
0.3601,0.08380,9.88117,0.84278
0.3803,0.21309,9.57710,0.65364
0.4022,0.09338,9.89554,0.72547
0.4203,0.05507,9.68963,0.86194
0.4405,0.21788,9.78540,0.65603
0.4632,0.01676,9.67287,0.80208
0.4811,0.26816,9.69681,0.66800
0.5016,0.06465,9.69921,0.81645
0.5390,0.13169,9.70400,0.83560
0.5412,0.25858,9.62259,0.84518
0.5603,0.17718,9.86920,0.76377
0.5829,0.22506,9.69442,0.76856
0.6002,0.14126,9.82850,0.72068
0.6223,0.09577,9.82610,0.78772
0.6433,0.21548,9.69681,0.55068
0.6638,0.17478,9.80216,0.78293
0.6804,0.01197,9.79258,0.80687
0.7028,0.25140,9.72554,0.62012
0.7200,-0.00718,9.77822,0.73265
0.7409,0.21309,9.74949,0.74223
0.7629,-0.01676,9.77104,0.57941
0.7815,0.07422,9.81892,0.62730
0.8059,0.11971,9.68484,0.54829
0.8251,0.12929,9.84286,0.74223
0.8427,0.00958,9.66808,0.68716
0.8615,0.31604,9.77822,0.57941
0.8858,0.05507,9.72554,0.86912
0.9017,0.24900,9.98173,0.54350
0.9213,0.06704,9.92666,0.44534
0.9434,0.18915,9.92188,0.55547
0.9612,0.21548,9.65132,0.66800
0.9809,0.13169,9.87878,0.66800
1.0038,0.22506,9.62498,0.82363
1.0221,0.31365,9.66808,0.69673
1.0420,0.15563,9.66808,0.88588
1.0653,0.09817,9.74709,0.61772
1.0930,0.14845,9.80455,0.70392
1.1086,0.04310,9.74949,0.59378
1.1233,0.22746,9.79977,0.60096
1.1413,-0.04070,9.77822,0.65843
1.1601,0.16999,9.77343,0.57702
1.1828,0.01437,9.76146,0.69195
1.2015,0.12211,9.76625,0.72068
1.2248,0.05267,9.76625,0.65364
1.2426,0.11253,9.82610,0.73504
1.2604,0.07422,9.66329,0.63927
1.2802,0.27055,9.78780,0.62491
1.3032,0.00000,9.66808,0.76138
1.3203,0.28492,9.77343,0.58660
1.3410,0.09098,9.70400,0.79729
1.3665,0.25379,9.77104,0.67997
1.3811,0.06943,9.73033,0.81166
1.4002,0.19633,9.79258,0.71110
1.4228,0.18436,9.64174,0.77335
1.4403,0.14845,9.84286,0.80448
1.4602,0.11493,9.62738,0.75180
1.4825,0.20112,9.83329,0.62012
1.5011,0.04310,9.70400,0.84518
1.5205,0.28971,9.77582,0.63448
1.5423,0.04789,9.78780,0.87870
1.5604,0.22746,9.82610,0.68716
1.5805,0.12690,9.68484,0.79969
1.6026,0.13647,9.80455,0.70871
1.6218,0.16281,9.60822,0.77575
1.6531,0.08141,9.87160,0.75420
1.6622,0.16520,9.66808,0.71110
1.6803,0.23943,9.77822,0.63688
1.7002,-0.03591,9.76146,0.83560
1.7223,0.27534,9.73512,0.60575
1.7401,0.16042,9.70639,0.73744
1.7602,0.09577,9.78061,0.74223
1.7834,0.26816,9.73752,0.57702
1.8038,0.09338,9.83568,0.71589
1.8210,0.31126,9.66808,0.64645
1.8436,-0.04310,9.82371,0.74223
1.8606,0.22267,9.85962,0.61054
1.8812,0.15802,9.71597,0.61533
1.9032,0.10056,9.91469,0.68955
1.9271,0.15084,9.59625,0.64885
1.9412,0.21070,9.79977,0.51477
1.9634,-0.05986,9.70878,0.82602
1.9806,0.35675,9.72076,0.51956
2.0010,-0.08380,9.75667,0.82124
2.0234,0.14126,9.83808,0.28492
2.0411,0.06943,9.71118,0.08619
2.0680,0.06225,10.05835,0.27534
2.0835,0.12211,9.61541,0.81645
2.1015,0.13169,9.85005,0.94574
2.1206,0.16760,9.63217,1.07264
2.1437,0.21070,9.72315,0.88349
2.1614,0.01197,9.76625,0.97686
2.1820,0.24900,9.69202,0.86433
2.2117,0.25140,9.75667,0.65124
2.2214,0.07422,9.75428,0.86433
2.2444,0.33041,9.66329,0.68476
2.2640,-0.01197,9.84047,0.41182
2.2814,0.14845,9.79977,0.34717
2.3007,0.15563,9.77104,0.17478
2.3234,0.10295,9.81653,0.80687
2.3425,0.08859,9.70400,0.68716
2.3614,0.24182,9.77104,0.67519
2.3836,0.01676,9.63456,1.02475
2.4013,0.27774,9.77822,0.96250
2.4215,-0.01676,9.72315,1.01996
2.4460,0.20112,9.83568,0.49322
2.4627,0.07901,9.75428,0.58899
2.4830,0.04549,9.90033,0.57941
2.5054,0.20591,9.71118,0.64645
2.5229,0.16042,9.86202,0.52913
2.5429,0.12211,9.66569,0.76138
2.5670,0.16281,9.73752,0.84997
2.5846,0.12690,9.69442,0.96968
2.6053,0.24422,9.76146,0.74462
2.6353,0.16520,9.75428,0.68716
2.6452,0.11014,9.79737,0.60575
2.6628,0.16281,9.79019,0.57463
2.6855,0.06465,9.73512,0.45012
2.7028,0.16760,9.75188,0.52674
2.7229,0.02873,9.86202,0.62730
2.7452,0.22506,9.71836,0.70152
2.7628,0.11493,9.73512,0.65843
2.7826,0.16281,9.77104,0.86433
2.8055,0.11732,9.71118,0.71349
2.8232,0.23943,9.76146,0.72786
2.8431,0.05507,9.73033,0.66082
2.8658,0.16042,9.83089,0.53632
2.8830,-0.02634,9.80216,0.68237
2.9083,0.20830,9.79977,0.49801
2.9256,0.01437,9.76864,0.81405
2.9441,0.11014,9.85723,0.73744
2.9632,0.13647,9.64893,0.89546
2.9850,0.12450,9.83089,0.88588
3.0033,0.19394,9.53161,0.94574
3.0230,0.26098,9.79977,0.84757
3.0467,0.03352,9.72315,0.82124
3.0623,0.36632,9.80216,0.47407
3.0828,0.07901,9.73273,0.66082
3.1052,0.16999,9.85484,0.56265
3.1234,0.16760,9.68005,0.69434
3.1434,0.13887,9.85005,0.62730
3.1654,0.23943,9.69442,0.84518
3.1830,0.13169,9.83568,0.75899
3.2035,0.10295,9.68484,0.84997
3.2254,0.10295,9.83808,0.48604
3.2435,0.01197,9.76625,0.78772
3.2636,0.13169,9.77822,0.57702
3.2860,0.11493,9.83808,0.61772
3.3033,-0.00239,9.73512,0.53871
3.3276,0.24422,9.70160,0.53392
3.3463,-0.02873,9.79019,0.78293
3.3630,0.18675,9.71597,0.68237
3.3842,0.08859,9.77822,0.63688
3.4053,0.22267,9.78780,0.72547
3.4231,0.11253,9.75188,0.63448
3.4434,0.18915,9.93385,0.61054
3.4673,0.08380,9.54597,0.46210
3.4828,0.33041,9.79019,0.62730
3.5033,-0.00958,9.78301,0.62251
3.5272,0.24900,9.80216,0.60336
3.5433,0.03591,9.64174,0.74941
3.5674,0.12690,9.60822,0.82124
3.6058,0.03352,9.60583,1.00081
3.6236,0.18915,9.77343,0.79250
3.6236,0.14126,9.59625,0.63927
3.6491,0.07422,9.88117,0.64406
3.6637,0.10056,9.70400,0.71349
3.6836,0.16520,9.82131,0.62251
3.7057,0.08380,9.73512,0.87391
3.7236,0.28971,9.71357,0.70392
3.7446,0.09338,9.78061,0.92419
3.7668,0.11732,9.73512,0.59139
3.7849,0.33520,9.64893,0.67997
3.8047,0.03591,9.87399,0.78772
3.8269,0.26098,9.69202,0.56505
3.8446,0.08859,9.75906,0.47885
3.8665,0.11014,9.84526,0.62730
3.8978,0.14605,9.68963,0.63927
3.9059,0.11493,9.81653,0.69673
3.9244,0.05507,9.61780,0.67519
3.9469,0.27774,9.78301,0.73025
3.9641,-0.00718,9.75667,0.89785
3.9842,0.18675,9.80216,0.75180
4.0064,0.13169,9.83568,0.76856
4.0274,0.06943,9.71597,0.86673
4.0441,0.27774,9.90033,0.75659
4.0664,-0.03352,9.92666,0.69673
4.0846,0.30168,9.68245,0.64406
4.1057,0.14366,9.62259,0.63448
4.1283,0.09338,9.88836,0.66082
4.1458,0.19633,9.47893,0.56265
4.1801,0.21788,9.92427,0.74941
4.1870,0.14366,9.72315,0.73504
4.2043,0.35914,9.71836,0.67040
4.2242,-0.03831,9.81413,0.71589
4.2465,0.33041,9.71118,0.67040
4.2658,0.11014,9.76385,0.67997
4.2906,0.07662,9.84047,0.79490
4.3062,0.31604,9.79737,0.49083
4.3243,-0.11493,9.79498,0.68716
4.3440,0.21309,9.77822,0.72307
4.3664,0.07901,9.84047,0.46449
4.3840,-0.08141,9.85723,0.78293
4.4046,0.25858,9.67766,0.38069
4.4269,-0.02155,9.84047,0.61293
4.4550,0.04310,9.79498,0.55547
4.4642,0.16760,9.72076,0.61293
4.4867,0.04789,9.80455,0.54589
4.5046,0.08141,9.79737,0.84278
4.5252,0.31126,9.77343,0.66800
4.5472,-0.00718,9.72554,0.70871
4.5657,0.31365,9.81413,0.56984
4.5960,0.06943,9.73512,0.56984
4.6073,0.20591,9.76385,0.57463
4.6257,0.17718,9.71118,0.40703
4.6451,0.18196,9.83568,0.50519
4.6726,0.09817,9.72315,0.57223
4.6848,0.17957,9.80216,0.81166
4.7050,0.14605,9.69202,0.61293
4.7295,0.07662,9.77582,0.87152
4.7454,0.23703,9.66090,0.51477
4.7668,0.05746,9.85484,0.65843
4.7877,0.08619,9.77582,0.78053
4.8052,0.23464,9.79019,0.74701
4.8255,0.04789,9.78061,0.76617
4.8504,0.26337,9.65850,1.10137
4.8771,0.16520,10.23553,0.09817
4.8848,-0.28013,10.48692,-3.27297
4.9074,0.25858,9.92906,-0.28971
4.9250,0.35914,10.27623,2.03753
4.9449,-0.01197,9.83089,1.38629
4.9673,0.67040,9.57949,1.87232
4.9848,0.10535,9.88836,2.27456
5.0127,-0.04070,9.79737,1.58022
5.0272,0.41182,9.87878,0.25140
5.0449,-0.21548,9.76864,1.14686
5.0651,0.28252,9.76864,0.86433
5.0880,0.09817,9.62020,0.97926
5.1058,0.05028,10.03680,0.72786
5.1260,0.20112,9.57231,1.40544
5.1584,0.21309,9.74470,0.87391
5.1660,-0.01676,9.66329,1.57064
5.1856,0.47646,9.47175,1.09179
5.2082,-0.15802,9.80455,0.17478
5.2252,0.09338,9.86681,0.20830
5.2450,0.22506,9.71836,-0.03113
5.2669,-0.02634,9.99610,0.45731
5.2847,0.07662,9.82371,0.24900
5.3050,0.31126,9.81174,0.50040
5.3272,0.14126,9.95779,1.23545
5.3450,0.38787,9.77582,1.05588
5.3667,0.17478,9.68245,0.95532
5.3863,0.21788,9.65611,1.47487
5.4063,0.48364,9.73512,1.30488
5.4298,0.12690,9.67526,1.41980
5.4469,0.20351,9.96737,0.43097
5.4647,0.21309,9.66329,1.04869
5.4847,0.09577,9.88836,0.76617
5.5072,0.09338,9.67287,1.01996
5.5248,0.31126,9.92188,0.39745
5.5465,-0.13169,9.76625,0.75420
5.5733,0.23224,9.93145,0.59617
5.5859,0.00718,9.58428,0.97208
5.6056,0.06943,9.89793,0.96729
5.6272,0.13169,9.61062,1.15165
5.6450,0.17239,9.92188,1.02714
5.6653,0.00000,9.62259,1.04869
5.6871,0.38787,9.79498,0.86673
5.7132,0.12450,9.58668,1.01278
5.7247,0.32083,9.75906,0.81405
5.7473,0.18915,9.61062,0.67040
5.7652,0.28492,9.75906,0.72786
5.7857,0.36154,9.43823,0.55068
5.8108,0.17957,9.85962,0.99841
5.8282,0.22746,9.64653,0.96489
5.8520,0.44294,9.65372,0.93137
5.8687,0.04070,9.68484,1.06066
5.8861,0.39027,9.77822,0.86433
5.9057,0.13887,9.80216,0.72786
5.9301,0.09098,9.87878,0.78293
5.9481,0.25619,9.84526,0.50998
5.9665,0.05986,9.92666,0.65603
5.9909,0.13408,9.83568,0.78053
6.0052,0.19394,9.68005,0.78772
6.0256,0.10535,9.88596,0.93856
6.0478,0.18675,9.60822,0.84039
6.0658,0.21788,9.79019,0.84757
6.0860,0.08619,9.58189,0.91940
6.1102,0.26576,9.79737,0.70152
6.1282,0.10535,9.55555,0.81405
6.1467,0.38308,9.73273,0.70631
6.1681,0.22985,9.57231,0.69673
6.1861,0.31365,9.81653,0.82124
6.2055,0.16042,9.66808,0.75420
6.2282,0.38069,9.91469,0.87870
6.2458,0.11971,9.69921,1.15404
6.2672,0.37351,9.77582,0.92898
6.2879,0.02394,9.69681,1.14686
6.3058,0.26576,9.79737,0.86912
6.3262,0.01197,9.69442,1.07503
6.3500,0.24182,9.83089,0.82363
6.3673,0.03831,9.67766,0.90982
6.3871,0.07901,9.74709,0.89306
6.4251,0.13887,9.66329,0.66561
6.4262,0.16281,9.69202,0.71589
6.4474,0.02394,9.89793,0.75420
6.4682,0.31604,9.68963,0.74941
6.4861,0.24661,9.88117,0.75899
6.5052,0.13887,9.87160,0.87630
6.5287,0.34717,9.88596,0.93856
6.5455,0.16999,9.70160,0.91461
6.5654,0.29689,9.83089,0.85954
