time,X_value,Y_value,Z_value
Started:,Oct 08 2018,17:29:44:472, 
0.0187,-0.03034,0.05192,0.00171
0.0374,-0.04072,-0.04216,0.01882
0.0603,0.02586,0.03848,0.01210
0.0807,-0.03523,0.08185,-0.00134
0.0974,-0.03400,-0.04338,0.00354
0.1199,0.00753,-0.05926,-0.00440
0.1372,0.01364,0.00610,-0.00562
0.1582,-0.02728,0.04214,-0.01784
0.1804,-0.04928,0.02198,-0.02700
0.1986,-0.00835,-0.05743,-0.01784
0.2222,0.02830,-0.00306,-0.01784
0.2400,0.00998,0.01954,-0.01173
0.2574,-0.00957,0.05619,0.00293
0.2802,-0.01812,0.04520,-0.01295
0.3003,0.00937,-0.02261,-0.01417
0.3182,0.01609,-0.02872,-0.02517
0.3391,0.02891,-0.00795,-0.00928
0.3678,0.00265,0.02626,-0.00501
0.3798,-0.03889,0.03420,-0.00928
0.3977,-0.03645,0.02321,0.00415
0.4197,-0.03584,-0.00612,-0.00745
0.4388,-0.01079,-0.03544,-0.01478
0.4579,-0.01324,0.01099,-0.01845
0.4800,0.00998,-0.00062,-0.00745
0.5014,-0.01873,-0.00917,-0.00928
0.5196,-0.01873,-0.00795,-0.02211
0.5405,0.05640,-0.05132,-0.01600
0.5579,0.08389,0.01038,0.00599
0.5783,0.01548,0.02931,0.00171
0.6004,0.02708,0.00060,0.00904
0.6185,-0.01507,-0.00734,0.00660
0.6534,0.00387,-0.03177,0.00538
0.6706,0.03808,-0.02627,-0.00501
0.6827,0.01364,-0.01100,0.00415
0.7011,0.02220,0.01832,0.00232
0.7207,-0.03095,0.02198,-0.00990
0.7385,-0.04500,-0.03238,0.00293
0.7589,-0.01751,-0.04216,-0.01784
0.7881,0.02342,-0.02078,-0.01478
0.7998,0.00143,-0.00551,-0.00990
0.8184,0.00998,-0.02383,-0.00990
0.8403,-0.01629,-0.01528,-0.01356
0.8587,-0.02362,-0.00917,-0.01784
0.8794,-0.00041,-0.02139,-0.01600
0.9007,-0.00529,0.03298,-0.00745
0.9257,-0.01568,0.03542,-0.01356
0.9380,-0.01018,0.00305,-0.00440
0.9625,-0.05294,-0.00978,0.01515
0.9785,-0.01262,-0.05987,-0.01845
0.9984,-0.00957,-0.03238,-0.00318
1.0205,0.01120,-0.03238,-0.00257
1.0386,-0.00346,-0.00673,-0.00134
1.0658,-0.02484,0.01404,-0.00195
1.0815,-0.03706,0.02076,-0.01906
1.0994,0.00020,0.00183,-0.02395
1.1199,0.00143,0.00916,-0.01417
1.1418,0.01425,0.00121,-0.01295
1.1596,-0.00529,0.02015,0.00415
1.1822,0.00937,-0.00367,0.00171
1.2218,-0.01262,-0.01833,0.00171
1.2368,0.00692,-0.04582,-0.00440
1.2433,0.00998,0.00732,-0.00012
1.2631,0.01425,-0.00856,0.00782
1.2808,-0.01140,-0.00612,-0.00073
1.3008,-0.03523,0.03359,-0.00867
1.3244,-0.02118,-0.04032,-0.01661
1.3623,-0.00957,-0.02383,-0.00745
1.3825,-0.00774,-0.02872,-0.00867
1.3835,0.01425,-0.03299,-0.00257
1.4027,0.01425,0.00183,-0.00806
1.4208,0.02403,-0.00978,-0.00012
1.4440,-0.00041,-0.03116,-0.01112
1.4620,0.02525,-0.02689,-0.00562
1.5107,0.03258,-0.03483,-0.00073
1.5112,0.02891,-0.02261,0.01393
1.5250,-0.01873,-0.01894,-0.00257
1.5418,-0.02118,-0.00184,-0.00928
1.5630,-0.01568,-0.01467,-0.00562
1.5808,-0.03400,0.00366,0.02065
1.6013,-0.02118,-0.02261,0.01759
1.6431,-0.01812,-0.02383,0.01210
1.6433,-0.01079,0.01771,-0.00562
1.6611,-0.00468,0.02748,-0.03005
1.6827,-0.02423,0.04459,-0.02883
1.7004,-0.01201,0.00488,-0.02578
1.7220,0.02953,-0.00673,-0.02517
1.7452,0.03319,-0.01100,-0.01723
1.7798,0.04113,-0.04704,-0.02028
1.7983,0.04541,-0.03666,-0.02761
1.8031,0.03869,-0.04277,-0.00806
1.8207,0.04724,-0.02689,-0.00440
1.8408,0.00570,0.00916,0.03470
1.8630,0.02525,-0.04460,0.01210
1.8807,0.05457,-0.02078,0.01271
1.9135,0.06007,-0.01039,-0.00562
1.9267,0.01914,0.00549,-0.01478
1.9447,0.02158,0.00854,-0.01417
1.9616,-0.01873,0.01099,-0.02578
1.9828,-0.01507,0.01588,-0.01845
2.0018,-0.01140,0.00549,-0.00318
2.0210,-0.02179,-0.01650,-0.00990
2.0617,-0.02423,-0.01711,-0.00134
2.0770,-0.02179,-0.02750,-0.01661
2.0801,-0.00774,-0.00612,-0.00745
2.1027,-0.04378,0.02198,-0.01784
2.1203,-0.03156,0.00793,-0.01295
2.1404,-0.02362,0.00671,0.00171
2.1628,-0.04805,-0.00123,0.00415
2.1992,-0.01629,-0.01345,0.00843
2.2172,-0.00407,-0.02566,0.01148
2.2226,0.01303,-0.03666,-0.00379
2.2447,0.01792,-0.01711,-0.00990
2.2602,-0.00713,0.03481,-0.01356
2.2840,-0.01079,-0.00489,-0.01234
2.3014,-0.00346,-0.03544,0.00293
2.3352,0.00753,-0.02078,-0.00623
2.3522,0.03441,-0.00551,-0.02639
2.3607,0.03258,-0.00734,-0.01661
2.3802,0.02097,-0.01345,0.00232
2.4026,0.01548,0.01710,0.01576
2.4202,-0.00468,0.00366,0.00660
2.4400,-0.01446,0.03603,0.01026
